,config,filename,Number of predicate,Accuracy,Time,Memory
0,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_1.txt,20,0.608696,123,10485760
1,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_2.txt,30,0.609756,168,31457280
2,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_3.txt,50,0.642857,283,98566144
3,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_4.txt,100,0.838710,856,505413632
4,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_5.txt,30,0.622222,149,25163776
5,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_6.txt,40,0.771429,231,58718208
6,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_7.txt,200,0.705882,3575,921355232
7,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_8.txt,150,0.692308,1885,1144938624
8,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_9.txt,70,0.777778,458,249561088
9,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_10.txt,170,0.628571,2420,1176479208
10,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_11.txt,70,0.794118,421,274726912
11,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_12.txt,320,0.774194,13658,2877275520
12,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_13.txt,167,0.589744,2343,1214206624
13,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_14.txt,30,0.675000,152,27262976
14,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_15.txt,5,0.642857,64,2097152
15,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_16.txt,120,0.891892,1426,532674560
16,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_17.txt,411,0.722222,33802,4797311664
17,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_18.txt,348,0.676471,22157,6435379664
18,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_19.txt,275,0.634146,8497,1337980928
19,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_20.txt,997,0.750000,415678,6452194976
20,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_21.txt,589,0.634146,92820,6443735520
21,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_22.txt,432,0.685714,34369,5878417024
22,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_23.txt,789,0.766667,207126,6446775808
23,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_24.txt,278,0.565217,9431,1870818432
24,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_25.txt,660,0.781250,125835,6443864440
25,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_26.txt,813,0.714286,210168,6445298272
26,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_27.txt,398,0.682927,25983,6435479744
27,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_28.txt,737,0.806452,151914,6444486336
28,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_29.txt,500,0.641026,50414,6441370880
29,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_30.txt,810,0.514286,215559,6450317112
30,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_31.txt,598,0.675676,92585,6443944424
31,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_32.txt,1024,0.928571,463252,6460649792
32,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_33.txt,233,0.710526,6173,964357760
33,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_34.txt,444,0.735294,42239,5532392320
34,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_35.txt,717,0.756757,150711,6444366088
35,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_36.txt,1200,0.645161,858233,6467415504
36,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_37.txt,111,0.714286,1109,755003464
37,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_38.txt,857,0.764706,272560,6453330896
38,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_39.txt,563,0.735294,74646,6443430880
39,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_40.txt,341,0.764706,21219,5974243312
40,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_41.txt,381,0.613636,22921,6438254592
41,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_42.txt,123,0.641026,1363,951992568
42,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_43.txt,751,0.619048,154722,6445226704
43,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_44.txt,923,0.702703,272198,6450032320
44,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_45.txt,593,0.684211,88876,6443375104
45,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_46.txt,851,0.781250,204903,6448181480
46,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_47.txt,375,0.694444,23164,6439737904
47,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_48.txt,714,0.647059,162908,6447724352
48,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_49.txt,472,0.750000,43788,6441877648
49,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_50.txt,931,0.487805,265962,6446478880
50,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_51.txt,952,0.714286,308848,6450973840
51,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_52.txt,257,0.636364,7623,1203539432
52,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_53.txt,1224,0.702703,824332,6463813840
53,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_54.txt,745,0.774194,191278,6446295456
54,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_55.txt,862,0.694444,226299,6449510136
55,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_56.txt,953,0.774194,343970,6452831392
56,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_57.txt,724,0.866667,166259,6444810304
57,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_58.txt,582,0.687500,93141,6443888968
58,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_59.txt,392,0.694444,29616,6113615352
59,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_60.txt,137,0.702703,1683,901729248
60,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_61.txt,195,0.866667,4546,779007792
61,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_62.txt,1765,0.794118,1921089,6478136528
62,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_63.txt,1376,0.581395,904389,6458650104
63,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_64.txt,1542,0.674419,1116484,6462131720
64,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_65.txt,726,0.684211,181596,6445980160
65,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_66.txt,999,0.757576,410567,6458223280
66,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_67.txt,1179,0.900000,690414,6461000928
67,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_68.txt,1287,0.619048,860763,6460444672
68,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_69.txt,1555,0.675676,1408346,6470519456
69,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_70.txt,298,0.560976,12455,3594842560
70,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_71.txt,129,0.707317,1500,1121884528
71,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_72.txt,133,0.757576,1776,767495616
72,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_73.txt,140,0.687500,2051,1050806264
73,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_74.txt,111,0.642857,978,587070888
74,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_75.txt,149,0.625000,2175,1159739440
